#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guardian_of_faith_christian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_chalcedonian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_sunni;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_sunni_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_shiite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_shiite_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ibadi;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ibadi_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_zaydi;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_zadi_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_druze;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_druze_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_zoroastrian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_zoroastrian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_manichean;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_manichean_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_yazidi;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_yazidi_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_norse_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_norse_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_tengri_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_tengri_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_baltic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_baltic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_finnish_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_finnish_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_slavic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_slavic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_west_african_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_west_african_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_zun_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_zun_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;xfirst_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_hellenic_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_hellenic_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_aztec;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_aztec_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_ainu_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ainu_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_chinese_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_chinese_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_korean_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_korean_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_ryukyuan_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_ryukyuan_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_dayak_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_dayak_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_melanesian_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_melanesian_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_sanamahi_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_sanamahi_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_viet_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_viet_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_inca_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_inca_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_mayan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_mayan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_jurchen_pagan;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_jurchen_pagan_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_taiwanese_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_taiwanese_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_philippine_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_philippine_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_bornean_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_bornean_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_sulawesi_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_sulawesi_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_flores_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_flores_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_java_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_java_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_sumatran_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_sumatran_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_malagasy_religion;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_malagasy_religion_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_ainu_pantheism;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
